source_file,abstract,pyrolysis_related,include_in_oil_db,reason,flags
S0045653506004619__META_ABS.xml,"Title: Effects of oxygen, catalyst and PVC on the formation of PCDDs, PCDFs and dioxin-like PCBs in pyrolysis products of automobile residues
Abstract: End-of-life vehicles are dismantled to recover reusable parts and then sent to a shredding facility for steel material recovery. The residue generated from the shredding process, so-called automobile shredder residue, is now being mostly disposed in landfill, however landfill will be prohibited in the near future. More recycling and energy recovery must be made by the regulation. The most appropriate method is the thermal treatment that will produce various forms of fuels and less volume of vitrified residue. In this research, an automobile shredder residue was simulated with considering the residue from a shredding factory based on the new vehicle and thermally treated by pyrolysis or gasification to observe the yields of gas, oil and char. In the temperature range of 400–800°C, the yields of gas, oil, and char were 38.7–45.8%, 12.3–18.2%, and 36.0–49.0%, respectively. The optimum pyrolyzing temperature for more oil production was around 600°C. Emission characteristics of the byproducts, PCDDs, PCDFs and dioxin-like PCBs were studied at the temperature of 600°C. The analysis on the concentration and distribution of the isomers in various forms of the products were completed with and without oxygen, PVC, and catalytic metals, in order to observe how the existence of oxygen, PVC, and catalytic metals affect the formation of PCDDs, PCDFs, and dioxin-like PCBs from pyrolysis or gasification process. Without PVC, no PCDDs, PCDFs and dioxin-like PCBs were found in any products. PCDFs were predominant in any conditions. Catalyst and oxygen were found to affect to form more PCDDs, PCDFs, and dioxin-like PCBs. Effects of catalyst and oxygen on the byproduct formation seemed to be similar in oil and gas while that was different in char.",YES,NO,"The study focuses on dioxin formation in pyrolysis of automobile shredder residue, with oil yield data reported but no detailed oil composition or plastic fingerprint information.",CO_PYROLYSIS;NO_OIL_INFO;OIL_NOT_MAIN_PRODUCT
S0165237016308683__META_ABS.xml,"Title: Pyrolysis of HDPE into fuel like products: Evaluating catalytic performance of plain and metal oxides impregnated waste brick kiln dust
Abstract: The work explores the catalytic activities of plain and metal oxides (Fe2O3, CoO, ZnO, MnO2 and NiO) impregnated waste brick kiln dust (WBKD) for pyrolysis of high density polyethylene (HDPE) in order to get useful liquid oil that can be used as substitute to petro-fuels. The catalysts prepared in the laboratory were characterized by scanning electron microscopy (SEM), energy dispersive x-rays (EDX) analysis, surface area analysis (SAA) and x-ray diffractometry (XRD). The conversion of HDPE into liquid oil (LO) as a function of concentration of catalysts was studied. Based on the yielding results, ZnO- impregnated WBKD (5%) was found to be highly active. The liquid oils obtained in the thermal and ZnO-impregnated WBKD catalyzed runs were analyzed by using fourier transform infra-red spectroscopy (FTIR) and gas chromatographic-mass spectrometry (GC–MS). While comparing the results with the un-catalyzed thermal run, the ZnO-impregnated WBKD altered the liquid oil composition in terms of carbon range and hydrocarbon group type distributions. The fuel properties of the resultant liquid oils showed fuel values resembling to the generic petro-fuels.",YES,YES,HDPE single-polymer pyrolysis with GC-MS oil composition data and fuel property analysis.,SINGLE_PLASTIC;HAS_OIL_COMPOSITION;HAS_OIL_YIELD_DATA;GENERAL_CATALYST
S0957582025013060__META_ABS.xml,"Title: Catalytic microwave conversion of LDPE–PET waste: Unravelling the influence of process parameters
Abstract: Catalytic Microwave-Assisted Pyrolysis (CMAP) is emerging as a highly efficient and sustainable thermochemical strategy for valorising plastic waste into high-value fuels and chemicals, addressing critical environmental burdens. This study investigates the CMAP of a binary thermoplastic blend comprising low-density polyethylene (LDPE) and polyethylene terephthalate (PET) in a 1:1 (wt./wt.) ratio under variable process parameters: microwave power (270, 450, 630 W), susceptor dosage (5, 10, 15 g activated carbon), and catalyst loading (5, 10, 15 g zeolite). Product yields were 30–45 wt% for pyrolytic oils, 20–35 wt% for permanent gases, and 25–40 wt% for char. Fourier Transform Infrared (FTIR) spectroscopy of liquid products identified dominant C–H stretching, carbonyl (CO), and aromatic CC bands, indicative of complex aliphatic, oxygenated, and aromatic hydrocarbon frameworks. GC–MS profiling revealed power-dependent chemical distributions: aliphatic hydrocarbons (30–50 wt%) dominated at 270 W, mono- and polyaromatics (25–35 wt%) were prevalent at 450 W, while oxygenated species including furans and cyclopentenones (15–25 wt%) increased at 630 W. Phenolic derivatives were also identified across conditions. Carbon number distribution spanned C7–C25, with a peak in the C10–C15 fraction at 450 W, consistent with intensified chain scission and secondary cracking. Higher power promoted formation of lower-molecular-weight hydrocarbons (C7–C10), indicating enhanced thermal decomposition.",YES,YES,LDPE–PET binary mixture pyrolysis with detailed GC-MS oil composition and carbon number distribution data across varying conditions.,DEFINED_PLASTIC_MIX;HAS_OIL_COMPOSITION;HAS_OIL_YIELD_DATA;GENERAL_CATALYST
S0165237025004838__META_ABS.xml,"Title: Co-pyrolysis for dual benefits: Enhanced oil quality from waste tires/plastics and detoxification of chromium slag
Abstract: Waste chromium slag (WCs) optimized the pyrolysis behavior and product distribution of waste tires (WTs)/waste plastics (WPs) through catalysis. Concurrently, WCs were efficiently reduced and detoxified by the pyrolysis volatiles, establishing a synergistic co-treatment mechanism for toxic and waste materials. This study employed thermogravimetric-fourier transform infrared spectroscopy (TG-FTIR), pyrolysis-gas chromatography/mass spectrometry (Py-GC/MS), and tube furnace pyrolysis experiments for multi-dimensional analysis. Results revealed that WCs introduction lowered the initial pyrolysis temperature, inhibited chlorine-containing functional groups (H-Cl and C-Cl) formation, and enhanced liquid-phase product yield. Most notably, WCs exhibited pronounced catalytic cracking effects, promoting selective enrichment of light components (C5-C12), with their proportion increasing from 27.6 % to 51.9 %. Meanwhile, sulfur and chlorine elements in WTs and WPs underwent targeted migration during pyrolysis, partly were adsorbed by solid phase residues. Consequently, sulfur content reduced from 39.4 % to 24.6 %, and chlorine content from 2.7 % to 1.0 % in liquid products. Additionally, WTs, WPs, and their mixtures (WTs/WPs) all demonstrated excellent reduction efficiency for hexavalent chromium (Cr(VI)), with rates reaching 94.0 % under optimal conditions. This work clarifies the catalytic function of WCs in pyrolysis systems, providing innovative technical pathways for high-value resource utilization of WTs/WPs and harmless synergistic treatment of WCs.",YES,NO,"Co-pyrolysis with chromium slag and biomass-like waste materials, with no clear focus on pure plastic oil composition for fingerprinting.",CO_PYROLYSIS;NO_OIL_INFO
S0926669025015006__META_ABS.xml,"Title: Catalytic co-pyrolysis of waste coconut fibers and polystyrene using Py-GC-MS: Effect of temperatures and catalyst loading on pyrolytic hot vapours
Abstract: This present study investigates the catalytic co-pyrolysis of waste coconut shells (CNS) and polystyrene (PS) using Py-GC-MS to evaluate the effect of temperature and catalyst loading on pyrolytic vapour products. CNS was characterised by 75.51 % volatile matter, 14 % fixed carbon, 5.6 % moisture content, 4.86 % ash, 49 % carbon, and 18.32 MJ kg−1 higher heating value, while PS exhibited 99 % volatile matter, 92 % carbon, and 40.52 MJ kg−1 energy content. Co-pyrolysis was conducted at 450, 550, and 650 °C with varied PS (10–30 wt%) and ZSM-5 catalyst loadings (10–30 wt%). Pyrolysis of CNS alone at 650 °C produced 10.49 % hydrocarbons, 30.34 % acids, and 16.52 % phenols, while PS produced up to 95.61 % hydrocarbons at 550 °C. When blended, 30 % PS with CNS yielded up to 64 % hydrocarbons and 14 % acids at 650 °C, highlighting the synergistic effect. Catalyst addition significantly improved hydrocarbon yields: at 10 wt% ZSM-5 and 650 °C, hydrocarbon yield reached 33 %, with decreased acid and phenol content, enhancing oil quality. FTIR confirmed the presence of hydroxyl, carbonyl, and aromatic groups, whereas TGA confirmed thermal decomposition stages of CNS and PS. The highest conversion efficiency was observed at 650 °C with 30 wt% PS and 10 wt% ZSM-5, driven by cracking, decarboxylation, and aromatisation reactions. The study demonstrates that integrating waste plastics with biomass and ZSM-5 in co-pyrolysis enhances hydrocarbon-rich oil production while mitigating environmental issues from biomass burning and plastic waste. This process presents a sustainable pathway for converting lignocellulosic and polymeric waste into renewable fuel.",YES,NO,Co-pyrolysis with biomass (waste coconut shells) without clear reporting of pure plastic oil composition data.,CO_PYROLYSIS;NO_OIL_INFO
S0009250925008851__META_ABS.xml,"Title: Pyrolysis behavior and synergistic effect on co-pyrolysis of rice straw and polystyrene
Abstract: The co-pyrolysis of rice straw (RS) and polystyrene (PS) enhances the quality of bio-oil. In this study, the thermal decomposition behavior, kinetic behavior, and product distribution during RS–PS co-pyrolysis were systematically investigated. Kinetic parameters (A, E, n) were evaluated using OFW, KAS, STK, CR, and MP methods, while product distributions were analyzed via Py-GC/MS at 600 °C. Synergistic effects were quantified using deviations between experimental and theoretical values (ΔW, ΔWE, ΔWP). Results showed that RS decomposes in three stages and PS in a single step, whereas co-pyrolysis proceeds through four distinct stages. The presence of PS delayed RS pyrolysis, attributed to reduced heat transfer caused by molten PS (ΔW < 0 at 330–460 °C). The addition of PS significantly lowered the apparent activation energy, with the RS5PS5 blend exhibiting a strong synergistic effect (ΔWE = –19.5 kJ/mol, KAS). Kinetic modeling revealed that RS follows a multi-step D3 mechanism, while PS conforms to a single-step F1 model. Product analysis demonstrated that increasing PS content enhances the yields of mono- and polyaromatic hydrocarbons, while reducing aliphatic and oxygenated compounds. In the RS7PS3 blend, MAHs and PAHs reached 62.55 % and 29.76 %, respectively, highlighting a substantial shift in product composition due to synergistic interactions. These findings highlight co-pyrolysis as an effective method for improving bio-oil quality and addressing plastic waste.",YES,NO,"Co-pyrolysis with biomass, no pure plastic-only condition with oil composition data for fingerprinting.",CO_PYROLYSIS;OIL_NOT_MAIN_PRODUCT
S0045653524024408__META_ABS.xml,"Title: Temperature-dependent highly active LaCaMgAl2O4 catalyst effect on carbon nanomaterial and hydrogen generation from polymethyl methacrylate plastic
Abstract: The increasing accumulation of waste polymethyl methacrylate (PMMA) plastics presents a significant environmental challenge, while the demand for renewable energy sources continues to rise. Thermochemical recycling is a prospective technique for converting waste plastics into high-value chemicals, both economically and environmentally. In this work, the catalytic pyrolysis of waste PMMA plastics over LaCaMgAl2O4 nanosheets (NSs) catalyst is being investigated for its potential to produce hydrogen and carbon nanotubes (CNTs) in a two-stage fixed-bed reactor. The yield and purity of the gaseous products, as well as carbon deposition, concerning the effects of temperature during the catalysis process. Additionally, a small portion of LaCa was incorporated into the MgAl2O4 composite in the pre-catalysts under investigation. Analyzing the physicochemical properties of the carbon nanomaterials that form provides valuable insights into the workings of different catalysts. It's noteworthy that LaCaMgAl2O4 NSs showed such large yields of H2 (82.71 vol% H2) and CNTs (388 mg g−1) at 750 °C. The LaCaMgAl2O4 NSs catalyst's impressive ability to produce CNTs and H2 gas at high yields underscores its efficacy and potential for real-world catalytic pyrolysis applications. This study emphasizes the Nanocatalyst's potential for large-scale catalytic pyrolysis operations, providing a workable and efficient way of converting waste plastics into high-value products and renewable energy.",YES,NO,"Main focus is on hydrogen and carbon nanotube production, with no reported oil composition or meaningful liquid product data.",TARGET_HYDROGEN;TARGET_CNT;NO_OIL_INFO
S0165237025003845__META_ABS.xml,"Title: Exploring the catalytic conversion of pyrolytic wax residue: Kinetics and co-pyrolysis
Abstract: This study explores the valorization of pyrolysis waxy residue (PWR), a semi-solid byproduct remaining after the distillation of lighter fractions from paper and plastic waste derived pyrolysis oil, with the aim of optimizing hydrocarbon production. Three strategies were assessed: (1) co-pyrolysis of PWR with sawdust (SD) at varying ratios, (2) catalytic pyrolysis using molecular sieves (MS) and ZSM-5 catalysts, and (3) catalytic co-pyrolysis combining PWR, SD, and catalysts. Thermal decomposition analysis of the PWR revealed maximum volatile release, with complete conversion achieved at 550 °C. Kinetic parameters were estimated using Coats Redfern method and the activation energy was found in the range of 31.3 – 38.9 mol−1 (avg: 35.3 mol−1). Non catalytic fixed-bed co-pyrolysis at the optimum temperature of 550 ˚C showed a 3:1 PWR-to-SD ratio maximizing the hydrocarbon content (79.0 %) but resulted in low oil yields of (∼13 %,). In contrast, catalytic pyrolysis of PWR with MS resulted in a significantly higher hydrocarbon yield with negligible phenolic compounds, while ZSM-5 enhanced the gas production to 32.5 % but slightly reduced hydrocarbon yield to 65.9 %. Catalytic co-pyrolysis using MS provided higher oil yields of ∼40 % with hydrocarbon content at 71.0 %. Despite the challenge of converting long-chain hydrocarbons into oily sludge, the findings highlight the potential for complete conversion and maximized liquid yields through catalysts and co-pyrolysis with biomass mixtures.",YES,NO,"Co-pyrolysis with biomass and focus on hydrocarbon yield optimization, not on plastic-specific oil fingerprinting.",CO_PYROLYSIS;TARGET_HYDROGEN;OIL_NOT_MAIN_PRODUCT
S0957582022009624__META_ABS.xml,"Title: Thermal and catalytic pyrolysis of a real mixture of post-consumer plastic waste: An analysis of the gasoline-range product
Abstract: In this work, the thermal and catalytic pyrolysis of different types of plastic waste and a real mixture were investigated in a fixed-bed reactor over different catalysts (CaO, MgO, HY, HZSM-5). Important differences in gas, liquid, and solid yields were found as a function of polymer type. The highest gas yield was obtained with expanded polystyrene (52.3%), and the maximum oil production with high-impact polystyrene (55.5%), while polypropylene film led to the highest char release (17.5%). Regarding the composition of the liquid oil, high-impact polystyrene showed the highest yield of gasoline-range product (426 g per kg of pyrolyzed plastic), mainly composed of aromatics compounds (90%). The addition of catalysts increased the gas yield to the detriment of the oil produced. The effect was more evident for zeolite-type catalysts, i.e., the gas yield raised from 43.3 (non-catalytic) to 51.5% (HZSM-5). Low influence on the oil composition, i.e., gasoline-range product, was detected. This can be explained by the fast deactivation of catalysts because of coke deposition. Only an increase in the fraction of gasoline in liquid oil was observed when low-cost catalysts (CaO and MgO) were used, without significant changes in the composition of this product.",YES,NO,"The study focuses on gasoline-range product from a real plastic waste mixture, but the oil composition is not sufficiently detailed for fingerprinting, and the primary emphasis is on product distribution and catalyst effects rather than plastic-specific oil fingerprints.",CO_PYROLYSIS;OIL_NOT_MAIN_PRODUCT;NO_OIL_INFO
0040603178850059__META_ABS.xml,"Title: Simultaneous thermogravimetry-mass spectrometry and pyrolysis—gas chromatography of fluorocarbon polymers
Abstract: The thermal degradation of polytetrafluoroethylene (PTFE) and tetrafluoroethylene/hexafluoropropylene copolymer (FEP) has been investigated in different gas atmospheres by simultaneous thermogravimetry—mass spectrometry, pyrolysis—gas chromatography, combined gas chromatography—mass spectrometry, and IR analysis. There are no significant differences in the decomposition products of the two polymers in helium or air at a temperature range of 450–790°C; C1 to C8 fluorocarbons and their oxidized products have been identified. The various fluorocarbons produced are plotted against the degradation temperature, and at temperatures of 450–550°C FEP evolves large amounts of tetrafluoroethylene formed by a decomposition reaction of perfluoropropylene. From the traces of the TG-MS in an atmosphere of helium, the FEP clearly decomposes in two stages. The first stage degradation is mostly attributed to the evolution of perfluoropropylene with a small amount of perfluoro-1-butene or perfluoroisobutylene, and possibly traces of perfluorocyclobutane. Tetrafluoroethylene is evolved with these fluorocarbons at the second stage degradation, showing similar characteristics of the degradation mechanisms of FEP at the two stages. In the presence of air, the two polymers also decompose in two stages. Activation energies for the degradation products are calculated, and the decomposition mechanisms of the polymers are discussed with the results of IR analysis.",YES,YES,Single plastic (FEP and PTFE) pyrolysis with detailed GC-MS oil composition data across temperature stages.,SINGLE_PLASTIC;HAS_OIL_COMPOSITION;HAS_OIL_YIELD_DATA;GENERAL_CATALYST
S0306261919309481__META_ABS.xml,"Title: Catalytic co-pyrolysis of yellow poplar wood and polyethylene terephthalate over two stage calcium oxide-ZSM-5
Abstract: This study examined the catalytic co-pyrolysis of yellow poplar wood and polyethylene terephthalate over basic calcium oxide and acid zeolites, such as HY (SiO2/Al2O3: 30), Hβ (25), HZSM-5 (23), to maximize the yields of aromatics using thermogravimetric analysis and tandem μ-reactor-gas chromatography/mass spectrometry. The maximum decomposition temperature of polyethylene terephthalate on the catalytic thermogravimetric analysis over HZSM-5 (452 °C) was reduced by co-feeding with yellow poplar wood to 444 °C because of its catalytic property and the effective interaction between the catalytic co-pyrolysis intermediates of yellow poplar wood and polyethylene terephthalate. Non-catalytic co-pyrolysis produced smaller amounts of large molecular polyethylene terephthalate pyrolyzates because of the more effective secondary cracking and deoxygenation. Calcium oxide was effective in the deacidification and acid zeolites were efficient in aromatics production during the catalytic co-pyrolysis of yellow poplar wood and polyethylene terephthalate. Among the acid zeolites, HZSM-5 showed the highest efficiency on benzene, toluene, ethylbenzene, and xylenes (BTEXs) production, followed by Hβ and HY because of its strong acidity and proper pore size. The experimental MS intensities of BTEXs obtained from the catalytic co-pyrolysis of yellow poplar wood and polyethylene terephthalate over HZSM-5 (1083 × 106) were larger than their theoretical value (998 × 106). Compared to the single stage catalytic co-pyrolysis of yellow poplar wood and polyethylene terephthalate over ex-situ HZSM-5, the two-stage catalytic co-pyrolysis over in-situ calcium oxide and ex-situ HZSM-5 produced the much larger amounts of BTEXs during seven times sequential experiments.",NO,NO,"The study focuses on co-pyrolysis with biomass and aromatics production, not on plastic pyrolysis oil composition for fingerprinting.",NO_LAB_EXPERIMENT;CO_PYROLYSIS;TARGET_AROMATICS
S2666016425001471__META_ABS.xml,"Title: Electricity generation from co-pyrolysis gas of fresh palm fruit bunches and medical waste plastic bottles for sustainable energy applications
Abstract: Co-pyrolysis gas produced from the co-pyrolysis of fresh palm fruit bunches and medical waste plastic bottles using a batch pyrolyzer integrated with a downdraft gasifier was evaluated for sustainable electricity generation. Increasing the plastic fraction enhanced the gas heating value (41.43–55.53 MJ/Nm3) but decreased gas yield from 22.7 % to 9.0 %. Electrical efficiency was calculated based on the ratio of output power to syngas energy content, achieving 8.96–9.01 %. Engine tests showed a reduction in CO emissions (30,149–17,419 ppm) and comparable NOx levels to gasoline combustion. These results demonstrate the co-pyrolysis gas's potential as a renewable fuel for decentralized power.",YES,NO,"Co-pyrolysis with biomass, no pure plastic oil composition data, and oil not a focus.",CO_PYROLYSIS;OIL_NOT_MAIN_PRODUCT;NO_OIL_INFO
S0165237001001371__META_ABS.xml,"Title: Pyrolysis of high-density polyethylene in a fluidised bed reactor. Influence of the temperature and residence time
Abstract: The pyrolysis of HDPE in a fluidised bed reactor was performed and the influence of the temperature and the residence time on the product distribution and gas composition investigated. Experiments at five different temperatures, 650; 685; 730; 780 and 850°C were carried out and the residence time was varied from 0.64 to 2.6 s. A total number of 20 runs were performed. Polyethylene was fed continuously into the bed and nitrogen was used as carrier gas and as fluidising agent. The results obtained showed the effect of these operating parameters on the production and composition of gases, oil and waxes. The temperature and residence time had a great influence on the pyrolysis product distribution within the range evaluated in this paper. At 640°C the main product obtained was a waxy cream coloured material (wax). The yield of this product varied from 79.7 wt.% at 0.8 s to 68.5wt.% at 1.5 s. At these conditions the gas yield varied between 11.4 wt.% at 1 s and 31.5 wt.% at 1.5 s. The waxes obtained are rich in aliphatic hydrocarbons up to C30. At high temperatures the product distribution changed drastically. The higher gas yields was obtained at 780°C, 86.4 wt.% of gas and 9.6 wt.% of oil, both at 1.34 s. The main hydrocarbons in this gas were ethylene, methane and propylene, the remaining products being oils with a high aromatic hydrocarbon (benzene and naphthalene) content. The H2, CH4, N2 and C2H x to C5H x compounds on the gas produced were analysed by gas chromatography, using a packed column and a molecular sieve.",YES,YES,"HDPE pyrolysis with detailed oil yield and composition data, including GC analysis of aromatic hydrocarbons in the oil product.",SINGLE_PLASTIC;HAS_OIL_YIELD_DATA;HAS_OIL_COMPOSITION
S0956053X2500193X__META_ABS.xml,"Title: A comparative pyrolysis study of different waste wind turbine blade parts: Kinetics, product distribution and evolution, and economics
Abstract: The resource treatment and recycling of waste wind turbine blades (WWTBs) have become an important challenge globally. Considering mechanical strength during operation, the designed construction of WTBs consists of B1 (balsa-filled part), B2 (polyethylene terephthalate (PET) foam-filled part) and B3 (pure glass fiber-reinforced polymer (GFRP) part), whereas direct mixed treatment can generate low-quality and heterogeneous products. Current studies focused on B3 or the whole blades, but few studied the pyrolysis behavior and energy value of different parts. In this study, the comparative study of the kinetic, product distribution and evolution, and economics of different parts was conducted. Thermogravimetric and kinetic revealed the phase transitions and energy requirements during conversion. Py-GC/MS and fixed-bed experiments confirmed that B1 and B2 generated more oils and gases with more coke in the solids at 600 °C, which was related to carbonization of their core components. High O/C ratios of balsa and PET caused more oxygen-containing groups and products to be produced in the B1 and B2 reaction pathways. The high economics indicated that pyrolysis was suitable for B2 and B3, and the detailed exploration of B1 part should be continued. Our work provides application guidance for resource recovery and utilization of different WWTB parts.",YES,NO,"Co-pyrolysis of different wind turbine blade parts with mixed plastic and biomass components, no pure plastic oil composition data reported.",CO_PYROLYSIS;NO_OIL_INFO
S1385894723020387__META_ABS.xml,"Title: Virtuous utilization of carbon dioxide in pyrolysis of polylactic acid
Abstract: Polylactic acid has been adopted as a strategic alternative to petroplastics because of its biodegradability. The waste generation rate could be proportional to its use, considering the short lifespan of polylactic acid. However, a practical disposal or recycling protocol for polylactic acid waste has not yet been developed. Thus, this study suggests a promising thermochemical platform for valorizing polylactic acid waste into energy resources (syngas). Specifically, carbon dioxide-assisted pyrolysis has been suggested to impart environmental features to polylactic acid disposal. Before the pyrolysis tests, the polylactic acid waste sample was characterized by Fourier transform-infrared spectrometer and thermogravimetric analyses, which showed that polylactic acid contained a substantial amount of additives and impurities (∼13 wt%). The impurity containing polylactic acid was converted into pyrogenic gases and biocrudes through pyrolysis process. The pyrolysis was performed under carbon dioxide condition and led to enhanced carbon monoxide formation from simultaneous homogeneous reactions between CO2 and volatile organic compounds evolved from thermal degradation of polylactic acid. CO2 was reduced and the volatile compounds were oxidized. The evolution of carbon monoxide from pyrolysis under carbon dioxide condition was 2 times higher than that from nitrogen condition. The concentration of carbon monoxide from the pyrolysis of polylactic acid waste with respect to plastics and biomass was considerably higher. This observation indicates that the susceptibility of carbon dioxide to the homogeneous reaction is highly sensitive. To seek a way to hasten the homogeneous reaction, silica supported nickel catalysts were applied. The evolution of carbon monoxide from catalytic pyrolysis under carbon dioxide condition was 4.5 times higher than inert atmosphere.",YES,NO,"Main focus is on syngas (CO) production and CO2 utilization, with no reported oil or liquid product composition data.",TARGET_HYDROGEN;NO_OIL_INFO
S0304389410007399__META_ABS.xml,"Title: Recycling of automobile shredder residue with a microwave pyrolysis combined with high temperature steam gasification
Abstract: Presently, there is a growing need for handling automobile shredder residues – ASR or “car fluff”. One of the most promising methods of treatment ASR is pyrolysis. Apart of obvious benefits of pyrolysis: energy and metals recovery, there is serious concern about the residues generated from that process needing to be recycled. Unfortunately, not much work has been reported providing a solution for treatment the wastes after pyrolysis. This work proposes a new system based on a two-staged process. The ASR was primarily treated by microwave pyrolysis and later the liquid and solid products become the feedstock for the high temperature gasification process. The system development is supported within experimental results conducted in a lab-scale, batch-type reactor at the Royal Institute of Technology (KTH). The heating rate, mass loss, gas composition, LHV and gas yield of producer gas vs. residence time are reported for the steam temperature of 1173K. The sample input was 10g and the steam flow rate was 0.65kg/h. The conversion reached 99% for liquids and 45–55% for solids, dependently from the fraction. The H2:CO mol/mol ratio varied from 1.72 solids and 1.4 for liquid, respectively. The average LHV of generated gas was 15.8MJ/Nm3 for liquids and 15MJ/Nm3 for solids fuels.",YES,NO,"The study focuses on co-pyrolysis of automobile shredder residue with subsequent gasification, reporting only gas composition and yield without detailed oil composition or liquid product characterization.",CO_PYROLYSIS;NO_OIL_INFO
S0301479720300505__META_ABS.xml,"Title: Thermal degradation of waste plastics under non-sweeping atmosphere: Part 2: Effect of process temperature on product characteristics and their future applications
Abstract: The current energy demand and diminishing conventional fuels have forced researchers to find an alternative source of energy. Waste to energy is the current trend for converting waste materials (plastic waste) into valuable fuels. This article mainly discussed the detailed characterization of the pyrolytic products, their comparative analysis and the reaction mechanism at varying operating temperature. This article is a successor of part 1, which primarily focused on the characterization of different waste plastics, their TG analysis, the effect of reactor temperature on yield analysis in a batch reactor and their detailed degradation mechanism. Furthermore, the results presented in this article report the characterization of products at three processing temperatures of 450, 500 and 550 °C. The pyrolytic oils from all wastes excluding PS show a very low density ranging from 0.71 to 0.76 kg/m3, whereas PS pyrolytic density is reported between 0.86 and 0.88 kg/m3. The viscosity of oils increases with an increase in the processing temperature and is similar to the conventional fuels. The FTIR analysis of the products (oil & gases) obtained from HDPE, PP and mixed plastic waste (MIX) shows a large presence of alkanes and a higher presence of aromatics. PS analysis reported a large presence of aromatics (~75%). The GC-MS analysis of all pyrolytic oils from waste plastics, simulated wastes (virgin plastics) and distilled fraction of MIX pyrolysis oil is compared. The GC analysis of non-condensable gases at all processing temperature reports that MIX produce the maximum H2; HDPE, PS and MIX produces a high amounts of CH4 too. The formation of lower hydrocarbons (C5–C12) in pyrolysis oil shows a trend as MIX > PP > PS > HDPE, while for the heavier hydrocarbons (>C19) it is HDPE > PP > PS > MIX. The potential of the utilization of these products has been discussed in different sectors for future research.",YES,YES,"HDPE, PP, PS, and mixed plastic pyrolysis with GC-MS analysis of oil composition and detailed hydrocarbon distribution data.",SINGLE_PLASTIC;DEFINED_PLASTIC_MIX;HAS_OIL_COMPOSITION;HAS_OIL_YIELD_DATA
S0016236124001534__META_ABS.xml,"Title: Recycling waste polyethylene into fuels over Fe/USY catalyst: Evaluation on the catalytic activities of varied iron states
Abstract: Iron-modified zeolite catalyst has a good application prospect on recycling the waste plastics into value-added fuels via catalytic pyrolysis. Distinguishing the catalytic activities of varied iron states on catalyst is crucial to catalyst designation and plastic-to-fuel process. In this work, we prepared three Fe/USY catalysts, termed Fe(O-550)/USY, Fe(R-300)/USY and Fe(R-450)/USY, that contain different iron states – Fe2O3, Fe3O4 + Fe (dominantly) and Fe respectively, and investigated their catalytic activities in polyethylene pyrolysis for fuel oils. The results show that loading of the iron species on USY zeolite decreases the catalyst acidity. H2 reduction treatment in catalyst preparation has no significant influence on the total acidity but slightly changes the concentration of Brønsted and Lewis acid sites. The oil yield after catalysis with different catalysts follows the order: Fe(O-550)/USY (72.5 %) > Fe(R-300)/USY (69.9 %) > Fe(R-450)/USY (66.7 %) > USY (56.5 %). The oil includes a mixture of C6-C34 compounds especially abundant in C6-C10. It is mainly in gasoline and diesel range and consists of alkanes as majority. Generally, loading of the iron species on USY zeolite increases the oil yield and produces lighter oil and more aromatics and alkenes, while the Fe(R-450)/USY shows higher catalytic cracking activity than Fe(O-550)/USY, Fe(R-300)/USY and USY catalysts. Among the varied iron states, the metallic iron is more active than the other iron oxides to promote the catalytic cracking of PE to produce fuel oil, especially the light oil and aromatic fractions.",YES,YES,"Pure polyethylene pyrolysis with GC-MS-derived oil composition and yield data, showing clear hydrocarbon fingerprint patterns.",SINGLE_PLASTIC;HAS_OIL_COMPOSITION;HAS_OIL_YIELD_DATA;GENERAL_CATALYST
S0165237006000556__META_ABS.xml,"Title: The effects of magnesium hydroxide on flash pyrolysis of polystyrene
Abstract: Pure polystyrene (PS) and flame-retarded PS composite containing magnesium hydroxide (Mg(OH)2) were pyrolyzed in a off-line furnace-type pyrolyzer at 700°C for 10min. The liquid and tar products were collected by Cambridge pad. The qualitative and quantitative analyses were carried out by gas chromatography/mass spectrometry (GC/MS). The results indicate that the effects of Mg(OH)2 on flash pyrolysis of PS are quite significant. The existence of Mg(OH)2 does not lead to the appearance of new products, but the results of quantitative analysis show that the product distribution of the PS/Mg(OH)2 sample is rather different from that of the pure PS sample. Almost all the relative intensities of products, especially some head-to-head structures and some condensed aromatic compounds, take on increasing tendencies except that of styrene monomer markedly decreases. The reasons of the changes were discussed from the aspect of reaction pathways and mechanisms.",YES,YES,Pure polystyrene flash pyrolysis with detailed GC-MS oil composition data and quantitative product distribution analysis.,SINGLE_PLASTIC;HAS_OIL_COMPOSITION;HAS_OIL_YIELD_DATA
